ibi,bpm,sdsd,rmssd,pnn50,pnn20,pnn50pnn20,lf,hf,vlf,flf,Vhf,fvlf,maxSig,minSig,meanSig,sdSig,varSig
931.15625,64.56284318,403.5629337,170610.6563,0.407523511,0.460815047,0.884353741,1.40E-07,9.72E-07,4.35E-08,2.43E-09,2.08E-07,4.48E-11,0.3779492,-0.319835039,4.44E-05,0.096043374,0.00922433
915.0145349,65.65967354,391.8715133,167840.5274,0.413994169,0.451895044,0.916129032,1.51E-07,9.38E-07,5.03E-08,2.82E-09,7.77E-08,1.41E-10,0.382781235,-0.339746932,-4.57E-05,0.095022627,0.0090293
745.7244898,80.26129056,261.3254183,107475.2504,0.323076923,0.338461538,0.954545455,9.98E-07,5.67E-06,2.97E-07,7.31E-09,1.55E-07,1.10E-09,0.40892515,-0.337363609,0.000172118,0.104036333,0.010823559
861.3024691,69.58922434,243.4311508,111313.8511,0.354037267,0.434782609,0.814285714,1.13E-08,1.08E-06,9.25E-10,1.72E-07,6.39E-07,5.47E-08,0.367956056,-0.330530665,8.74E-06,0.102288399,0.010462917
915.0656566,65.52128204,353.5187177,162993.6472,0.405063291,0.430379747,0.941176471,6.55E-09,3.65E-08,2.01E-09,9.15E-09,7.42E-08,2.81E-09,0.694251105,-0.803056089,-8.44E-06,0.175334521,0.030742194
898.7336449,66.86570878,325.8998183,137381.7421,0.436619718,0.450704225,0.96875,4.74E-07,1.07E-06,1.58E-07,2.21E-07,6.95E-07,7.17E-08,0.728040426,-0.774489408,-0.00010614,0.178087067,0.031715003
976.8918919,61.24839857,330.7570575,156732.0636,0.37414966,0.421768707,0.887096774,1.85E-08,4.81E-08,5.77E-09,3.02E-08,1.91E-07,8.55E-09,0.651038568,-0.756060621,-2.40E-05,0.177023451,0.031337302
841.7773438,71.07333644,318.7260653,112134.6678,0.458823529,0.474509804,0.966942149,1.05E-08,2.64E-08,3.54E-09,3.18E-08,2.00E-07,9.75E-09,0.677364575,-0.741109971,1.49E-05,0.174086986,0.030306279
955.7150396,62.82601328,315.6527555,143778.9747,0.367724868,0.417989418,0.879746835,6.00E-08,3.35E-07,1.91E-08,7.37E-09,4.62E-08,2.37E-09,0.670961221,-0.733503589,-2.60E-05,0.170956298,0.029226056
861.0875,69.62853207,325.8149258,126195.8479,0.45112782,0.461152882,0.97826087,2.06E-08,8.04E-08,6.79E-09,2.79E-08,1.01E-07,9.42E-09,0.658345817,-0.692534336,1.61E-05,0.172103195,0.02961951
971.3626062,61.79825952,347.5985695,173259.3529,0.369318182,0.411931818,0.896551724,2.29E-08,2.28E-07,5.90E-09,3.35E-07,8.83E-07,1.12E-07,0.649264624,-0.758616436,1.49E-05,0.172940346,0.029908363
868.6984733,68.94322015,354.8104256,147766.7878,0.455938697,0.459770115,0.991666667,2.64E-08,1.12E-07,7.94E-09,3.54E-07,1.13E-06,1.10E-07,0.624533118,-0.674749892,2.22E-05,0.168982714,0.028555158
938.8580442,63.95945212,345.880016,162846.4526,0.39556962,0.430379747,0.919117647,1.47E-07,4.64E-07,4.75E-08,1.85E-07,4.94E-07,6.02E-08,0.677073286,-0.728938047,4.64E-05,0.175771543,0.030895635
928.0798817,64.51776618,324.3471073,141426.3573,0.40652819,0.427299703,0.951388889,4.44E-07,9.35E-07,1.59E-07,1.87E-08,1.36E-07,5.80E-09,0.701669022,-0.759410437,8.14E-05,0.177513406,0.031511009
860.852071,69.26101216,334.4681423,136414.6048,0.446428571,0.452380952,0.986842105,2.63E-07,8.70E-07,7.93E-08,1.54E-07,5.71E-07,4.58E-08,0.626824677,-0.686905657,-8.89E-05,0.166799195,0.027821971
849.0787879,70.87000761,338.7034818,143193.6121,0.43902439,0.457317073,0.96,8.88E-07,2.82E-06,2.86E-07,6.27E-08,2.92E-07,1.90E-08,0.636206406,-0.694827974,-0.000168923,0.170275179,0.028993637
715.3925049,83.84083445,382.6835499,107880.4362,0.444664032,0.446640316,0.995575221,2.12E-08,6.70E-08,7.17E-09,6.42E-08,1.81E-07,2.20E-08,0.428271352,-0.546658984,1.60E-05,0.106666121,0.011377661
651.1186441,92.0569758,285.4242867,116000.2614,0.363945578,0.428571429,0.849206349,1.17E-07,4.42E-07,3.73E-08,9.79E-09,3.28E-08,3.06E-09,0.423067166,-0.520572583,-5.15E-05,0.107883197,0.011638784
634.720524,94.54450785,264.8795868,111881.2409,0.372807018,0.394736842,0.944444444,1.91E-07,6.09E-07,5.79E-08,1.98E-08,7.06E-08,5.89E-09,0.422216028,-0.527365928,7.60E-05,0.108405485,0.011751749
722.3946488,82.96498417,376.8649819,92293.0372,0.453020134,0.466442953,0.971223022,1.69E-08,4.90E-08,5.46E-09,3.46E-09,1.53E-08,1.08E-09,0.41920234,-0.513199521,1.85E-05,0.110899292,0.012298653
692.6137667,86.63376568,345.3432614,110795.3035,0.425287356,0.438697318,0.969432314,5.51E-08,1.28E-07,1.98E-08,4.73E-08,1.30E-07,1.66E-08,0.418614553,-0.528215874,2.66E-05,0.104003732,0.010816776
682.4871287,87.86044196,326.1831018,95730.07703,0.418650794,0.446428571,0.937777778,7.43E-08,2.78E-07,2.46E-08,1.33E-08,4.86E-08,4.25E-09,0.462721648,-0.565843099,-3.07E-05,0.112235244,0.01259675
670.9823875,89.38053355,282.4402691,108772.7367,0.394117647,0.447058824,0.881578947,1.82E-08,4.32E-07,5.96E-09,6.30E-08,1.65E-07,2.14E-08,0.439090079,-0.547246333,1.51E-05,0.109242976,0.011934028
699.6226994,85.72027752,356.4855249,110235.8561,0.427692308,0.44,0.972027972,2.41E-09,5.60E-08,5.82E-10,1.02E-07,2.85E-07,3.20E-08,0.410097583,-0.516471508,-5.98E-06,0.107806468,0.011622235
679.8835616,88.29622478,335.704502,118656.0979,0.411899314,0.42791762,0.962566845,3.88E-08,9.04E-08,1.30E-08,4.62E-10,1.92E-08,1.01E-11,0.404851867,-0.518059839,2.43E-05,0.103122336,0.010634216
746.1662708,80.3141514,428.2088678,88009.25126,0.471428571,0.480952381,0.98019802,1.72E-08,6.64E-08,5.79E-09,1.19E-08,3.32E-08,4.06E-09,0.388746112,-0.51808354,1.55E-05,0.102655564,0.010538165
